Surah,Ayah,Text,Char_Length,Casefolding,Tokenizing
2,10,"Dalam hati mereka ada penyakit, lalu ditambah Allah penyakitnya; dan bagi mereka siksa yang pedih, disebabkan mereka berdusta.",126,dalam hati mereka ada penyakit lalu ditambah allah penyakitnya dan bagi mereka siksa yang pedih disebabkan mereka berdusta ,"['dalam', 'hati', 'mereka', 'ada', 'penyakit', 'lalu', 'ditambah', 'allah', 'penyakitnya', 'dan', 'bagi', 'mereka', 'siksa', 'yang', 'pedih', 'disebabkan', 'mereka', 'berdusta']"
2,11,"Dan bila dikatakan kepada mereka: ""Janganlah kamu membuat kerusakan di muka bumi"". Mereka menjawab: ""Sesungguhnya kami orang-orang yang mengadakan perbaikan"".",158,dan bila dikatakan kepada mereka janganlah kamu membuat kerusakan di muka bumi mereka menjawab sesungguhnya kami orang orang yang mengadakan perbaikan ,"['dan', 'bila', 'dikatakan', 'kepada', 'mereka', 'janganlah', 'kamu', 'membuat', 'kerusakan', 'di', 'muka', 'bumi', 'mereka', 'menjawab', 'sesungguhnya', 'kami', 'orang', 'orang', 'yang', 'mengadakan', 'perbaikan']"
2,12,"Ingatlah, sesungguhnya mereka itulah orang-orang yang membuat kerusakan, tetapi mereka tidak sadar.",99,ingatlah sesungguhnya mereka itulah orang orang yang membuat kerusakan tetapi mereka tidak sadar ,"['ingatlah', 'sesungguhnya', 'mereka', 'itulah', 'orang', 'orang', 'yang', 'membuat', 'kerusakan', 'tetapi', 'mereka', 'tidak', 'sadar']"
2,13,"Apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana orang-orang lain telah beriman"". Mereka menjawab: ""Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?"" Ingatlah, sesungguhnya merekalah orang-orang yang bodoh; tetapi mereka tidak tahu.",271,apabila dikatakan kepada mereka berimanlah kamu sebagaimana orang orang lain telah beriman mereka menjawab akan berimankah kami sebagaimana orang orang yang bodoh itu telah beriman ingatlah sesungguhnya merekalah orang orang yang bodoh tetapi mereka tidak tahu ,"['apabila', 'dikatakan', 'kepada', 'mereka', 'berimanlah', 'kamu', 'sebagaimana', 'orang', 'orang', 'lain', 'telah', 'beriman', 'mereka', 'menjawab', 'akan', 'berimankah', 'kami', 'sebagaimana', 'orang', 'orang', 'yang', 'bodoh', 'itu', 'telah', 'beriman', 'ingatlah', 'sesungguhnya', 'merekalah', 'orang', 'orang', 'yang', 'bodoh', 'tetapi', 'mereka', 'tidak', 'tahu']"
2,14,"Dan bila mereka berjumpa dengan orang-orang yang beriman, mereka mengatakan: ""Kami telah beriman"". Dan bila mereka kembali kepada syaitan-syaitan mereka, mereka mengatakan: ""Sesungguhnya kami sependirian dengan kamu, kami hanyalah berolok-olok"".",245,dan bila mereka berjumpa dengan orang orang yang beriman mereka mengatakan kami telah beriman dan bila mereka kembali kepada syaitan syaitan mereka mereka mengatakan sesungguhnya kami sependirian dengan kamu kami hanyalah berolok olok ,"['dan', 'bila', 'mereka', 'berjumpa', 'dengan', 'orang', 'orang', 'yang', 'beriman', 'mereka', 'mengatakan', 'kami', 'telah', 'beriman', 'dan', 'bila', 'mereka', 'kembali', 'kepada', 'syaitan', 'syaitan', 'mereka', 'mereka', 'mengatakan', 'sesungguhnya', 'kami', 'sependirian', 'dengan', 'kamu', 'kami', 'hanyalah', 'berolok', 'olok']"
2,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,103,allah akan membalas olok olokan mereka dan membiarkan mereka terombang ambing dalam kesesatan mereka ,"['allah', 'akan', 'membalas', 'olok', 'olokan', 'mereka', 'dan', 'membiarkan', 'mereka', 'terombang', 'ambing', 'dalam', 'kesesatan', 'mereka']"
2,16,"Mereka itulah orang yang membeli kesesatan dengan petunjuk, maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.",140,mereka itulah orang yang membeli kesesatan dengan petunjuk maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk ,"['mereka', 'itulah', 'orang', 'yang', 'membeli', 'kesesatan', 'dengan', 'petunjuk', 'maka', 'tidaklah', 'beruntung', 'perniagaan', 'mereka', 'dan', 'tidaklah', 'mereka', 'mendapat', 'petunjuk']"
2,17,"Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka, dan membiarkan mereka dalam kegelapan, tidak dapat melihat.",213,perumpamaan mereka adalah sepe i orang yang menyalakan api maka setelah api itu menerangi sekelilingnya allah hilangkan cahaya yang menyinari mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat ,"['perumpamaan', 'mereka', 'adalah', 'sepe', 'i', 'orang', 'yang', 'menyalakan', 'api', 'maka', 'setelah', 'api', 'itu', 'menerangi', 'sekelilingnya', 'allah', 'hilangkan', 'cahaya', 'yang', 'menyinari', 'mereka', 'dan', 'membiarkan', 'mereka', 'dalam', 'kegelapan', 'tidak', 'dapat', 'melihat']"
2,18,"Mereka tuli, bisu dan buta, maka tidaklah mereka akan kembali (ke jalan yang benar)",83,mereka tuli bisu dan buta maka tidaklah mereka akan kembali ke jalan yang benar ,"['mereka', 'tuli', 'bisu', 'dan', 'buta', 'maka', 'tidaklah', 'mereka', 'akan', 'kembali', 'ke', 'jalan', 'yang', 'benar']"
2,19,"atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, guruh dan kilat; mereka menyumbat telinganya dengan anak jarinya, karena (mendengar suara) petir, sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.",250,atau sepe i orang orang yang ditimpa hujan lebat dari langit dise ai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena mendengar suara petir sebab takut akan mati dan allah meliputi orang orang yang kafir ,"['atau', 'sepe', 'i', 'orang', 'orang', 'yang', 'ditimpa', 'hujan', 'lebat', 'dari', 'langit', 'dise', 'ai', 'gelap', 'gulita', 'guruh', 'dan', 'kilat', 'mereka', 'menyumbat', 'telinganya', 'dengan', 'anak', 'jarinya', 'karena', 'mendengar', 'suara', 'petir', 'sebab', 'takut', 'akan', 'mati', 'dan', 'allah', 'meliputi', 'orang', 'orang', 'yang', 'kafir']"
2,20,"Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berjalan di bawah sinar itu, dan bila gelap menimpa mereka, mereka berhenti. Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.",313,hampir hampir kilat itu menyambar penglihatan mereka setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti jikalau allah menghendaki niscaya dia melenyapkan pendengaran dan penglihatan mereka sesungguhnya allah berkuasa atas segala sesuatu ,"['hampir', 'hampir', 'kilat', 'itu', 'menyambar', 'penglihatan', 'mereka', 'setiap', 'kali', 'kilat', 'itu', 'menyinari', 'mereka', 'mereka', 'berjalan', 'di', 'bawah', 'sinar', 'itu', 'dan', 'bila', 'gelap', 'menimpa', 'mereka', 'mereka', 'berhenti', 'jikalau', 'allah', 'menghendaki', 'niscaya', 'dia', 'melenyapkan', 'pendengaran', 'dan', 'penglihatan', 'mereka', 'sesungguhnya', 'allah', 'berkuasa', 'atas', 'segala', 'sesuatu']"
2,21,"Hai manusia, sembahlah Tuhanmu yang telah menciptakanmu dan orang-orang yang sebelummu, agar kamu bertakwa",106,hai manusia sembahlah tuhanmu yang telah menciptakanmu dan orang orang yang sebelummu agar kamu be akwa,"['hai', 'manusia', 'sembahlah', 'tuhanmu', 'yang', 'telah', 'menciptakanmu', 'dan', 'orang', 'orang', 'yang', 'sebelummu', 'agar', 'kamu', 'be', 'akwa']"
2,22,"Dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap, dan Dia menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu; karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah, padahal kamu mengetahui.",290,dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan dia menurunkan air hujan dari langit lalu dia menghasilkan dengan hujan itu segala buah buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu sekutu bagi allah padahal kamu mengetahui ,"['dialah', 'yang', 'menjadikan', 'bumi', 'sebagai', 'hamparan', 'bagimu', 'dan', 'langit', 'sebagai', 'atap', 'dan', 'dia', 'menurunkan', 'air', 'hujan', 'dari', 'langit', 'lalu', 'dia', 'menghasilkan', 'dengan', 'hujan', 'itu', 'segala', 'buah', 'buahan', 'sebagai', 'rezeki', 'untukmu', 'karena', 'itu', 'janganlah', 'kamu', 'mengadakan', 'sekutu', 'sekutu', 'bagi', 'allah', 'padahal', 'kamu', 'mengetahui']"
2,23,"Dan jika kamu (tetap) dalam keraguan tentang Al Quran yang Kami wahyukan kepada hamba Kami (Muhammad), buatlah satu surat (saja) yang semisal Al Quran itu dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar.",234,dan jika kamu tetap dalam keraguan tentang al quran yang kami wahyukan kepada hamba kami muhammad buatlah satu surat saja yang semisal al quran itu dan ajaklah penolong penolongmu selain allah jika kamu orang orang yang benar ,"['dan', 'jika', 'kamu', 'tetap', 'dalam', 'keraguan', 'tentang', 'al', 'quran', 'yang', 'kami', 'wahyukan', 'kepada', 'hamba', 'kami', 'muhammad', 'buatlah', 'satu', 'surat', 'saja', 'yang', 'semisal', 'al', 'quran', 'itu', 'dan', 'ajaklah', 'penolong', 'penolongmu', 'selain', 'allah', 'jika', 'kamu', 'orang', 'orang', 'yang', 'benar']"
2,24,"Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir.",197,maka jika kamu tidak dapat membuat nya dan pasti kamu tidak akan dapat membuat nya peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu yang disediakan bagi orang orang kafir ,"['maka', 'jika', 'kamu', 'tidak', 'dapat', 'membuat', 'nya', 'dan', 'pasti', 'kamu', 'tidak', 'akan', 'dapat', 'membuat', 'nya', 'peliharalah', 'dirimu', 'dari', 'neraka', 'yang', 'bahan', 'bakarnya', 'manusia', 'dan', 'batu', 'yang', 'disediakan', 'bagi', 'orang', 'orang', 'kafir']"
2,25,"Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik, bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya. Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu, mereka mengatakan: ""Inilah yang pernah diberikan kepada kami dahulu"". Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada isteri-isteri yang suci dan mereka kekal di dalamnya.",416,dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik bahwa bagi mereka disediakan surga surga yang mengalir sungai sungai di dalamnya setiap mereka diberi rezeki buah buahan dalam surga surga itu mereka mengatakan inilah yang pernah diberikan kepada kami dahulu mereka diberi buah buahan yang serupa dan untuk mereka di dalamnya ada isteri isteri yang suci dan mereka kekal di dalamnya ,"['dan', 'sampaikanlah', 'berita', 'gembira', 'kepada', 'mereka', 'yang', 'beriman', 'dan', 'berbuat', 'baik', 'bahwa', 'bagi', 'mereka', 'disediakan', 'surga', 'surga', 'yang', 'mengalir', 'sungai', 'sungai', 'di', 'dalamnya', 'setiap', 'mereka', 'diberi', 'rezeki', 'buah', 'buahan', 'dalam', 'surga', 'surga', 'itu', 'mereka', 'mengatakan', 'inilah', 'yang', 'pernah', 'diberikan', 'kepada', 'kami', 'dahulu', 'mereka', 'diberi', 'buah', 'buahan', 'yang', 'serupa', 'dan', 'untuk', 'mereka', 'di', 'dalamnya', 'ada', 'isteri', 'isteri', 'yang', 'suci', 'dan', 'mereka', 'kekal', 'di', 'dalamnya']"
2,26,"Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman, maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka, tetapi mereka yang kafir mengatakan: ""Apakah maksud Allah menjadikan ini untuk perumpamaan?"". Dengan perumpamaan itu banyak orang yang disesatkan Allah, dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik",488,sesungguhnya allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu adapun orang orang yang beriman maka mereka yakin bahwa perumpamaan itu benar dari tuhan mereka tetapi mereka yang kafir mengatakan apakah maksud allah menjadikan ini untuk perumpamaan dengan perumpamaan itu banyak orang yang disesatkan allah dan dengan perumpamaan itu pula banyak orang yang diberi nya petunjuk dan tidak ada yang disesatkan allah kecuali orang orang yang fasik,"['sesungguhnya', 'allah', 'tiada', 'segan', 'membuat', 'perumpamaan', 'berupa', 'nyamuk', 'atau', 'yang', 'lebih', 'rendah', 'dari', 'itu', 'adapun', 'orang', 'orang', 'yang', 'beriman', 'maka', 'mereka', 'yakin', 'bahwa', 'perumpamaan', 'itu', 'benar', 'dari', 'tuhan', 'mereka', 'tetapi', 'mereka', 'yang', 'kafir', 'mengatakan', 'apakah', 'maksud', 'allah', 'menjadikan', 'ini', 'untuk', 'perumpamaan', 'dengan', 'perumpamaan', 'itu', 'banyak', 'orang', 'yang', 'disesatkan', 'allah', 'dan', 'dengan', 'perumpamaan', 'itu', 'pula', 'banyak', 'orang', 'yang', 'diberi', 'nya', 'petunjuk', 'dan', 'tidak', 'ada', 'yang', 'disesatkan', 'allah', 'kecuali', 'orang', 'orang', 'yang', 'fasik']"
2,27,"(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh, dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.",237, yaitu orang orang yang melanggar perjanjian allah sesudah perjanjian itu teguh dan memutuskan apa yang diperintahkan allah kepada mereka untuk menghubungkannya dan membuat kerusakan di muka bumi mereka itulah orang orang yang rugi ,"['yaitu', 'orang', 'orang', 'yang', 'melanggar', 'perjanjian', 'allah', 'sesudah', 'perjanjian', 'itu', 'teguh', 'dan', 'memutuskan', 'apa', 'yang', 'diperintahkan', 'allah', 'kepada', 'mereka', 'untuk', 'menghubungkannya', 'dan', 'membuat', 'kerusakan', 'di', 'muka', 'bumi', 'mereka', 'itulah', 'orang', 'orang', 'yang', 'rugi']"
2,28,"Mengapa kamu kafir kepada Allah, padahal kamu tadinya mati, lalu Allah menghidupkan kamu, kemudian kamu dimatikan dan dihidupkan-Nya kembali, kemudian kepada-Nya-lah kamu dikembalikan?",184,mengapa kamu kafir kepada allah padahal kamu tadinya mati lalu allah menghidupkan kamu kemudian kamu dimatikan dan dihidupkan nya kembali kemudian kepada nya lah kamu dikembalikan ,"['mengapa', 'kamu', 'kafir', 'kepada', 'allah', 'padahal', 'kamu', 'tadinya', 'mati', 'lalu', 'allah', 'menghidupkan', 'kamu', 'kemudian', 'kamu', 'dimatikan', 'dan', 'dihidupkan', 'nya', 'kembali', 'kemudian', 'kepada', 'nya', 'lah', 'kamu', 'dikembalikan']"
2,29,"Dialah Allah, yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak (menciptakan) langit, lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.",179,dialah allah yang menjadikan segala yang ada di bumi untuk kamu dan dia berkehendak menciptakan langit lalu dijadikan nya tujuh langit dan dia maha mengetahui segala sesuatu ,"['dialah', 'allah', 'yang', 'menjadikan', 'segala', 'yang', 'ada', 'di', 'bumi', 'untuk', 'kamu', 'dan', 'dia', 'berkehendak', 'menciptakan', 'langit', 'lalu', 'dijadikan', 'nya', 'tujuh', 'langit', 'dan', 'dia', 'maha', 'mengetahui', 'segala', 'sesuatu']"
2,30,"Ingatlah ketika Tuhanmu berfirman kepada para Malaikat: ""Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi"". Mereka berkata: ""Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah, padahal kami senantiasa bertasbih dengan memuji Engkau dan mensucikan Engkau?"" Tuhan berfirman: ""Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui"".",416,ingatlah ketika tuhanmu berfirman kepada para malaikat sesungguhnya aku hendak menjadikan seorang khalifah di muka bumi mereka berkata mengapa engkau hendak menjadikan khalifah di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah padahal kami senantiasa be asbih dengan memuji engkau dan mensucikan engkau tuhan berfirman sesungguhnya aku mengetahui apa yang tidak kamu ketahui ,"['ingatlah', 'ketika', 'tuhanmu', 'berfirman', 'kepada', 'para', 'malaikat', 'sesungguhnya', 'aku', 'hendak', 'menjadikan', 'seorang', 'khalifah', 'di', 'muka', 'bumi', 'mereka', 'berkata', 'mengapa', 'engkau', 'hendak', 'menjadikan', 'khalifah', 'di', 'bumi', 'itu', 'orang', 'yang', 'akan', 'membuat', 'kerusakan', 'padanya', 'dan', 'menumpahkan', 'darah', 'padahal', 'kami', 'senantiasa', 'be', 'asbih', 'dengan', 'memuji', 'engkau', 'dan', 'mensucikan', 'engkau', 'tuhan', 'berfirman', 'sesungguhnya', 'aku', 'mengetahui', 'apa', 'yang', 'tidak', 'kamu', 'ketahui']"
2,31,"Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya, kemudian mengemukakannya kepada para Malaikat lalu berfirman: ""Sebutkanlah kepada-Ku nama benda-benda itu jika kamu mamang benar orang-orang yang benar!""",221,dan dia mengajarkan kepada adam nama nama benda benda seluruhnya kemudian mengemukakannya kepada para malaikat lalu berfirman sebutkanlah kepada ku nama benda benda itu jika kamu mamang benar orang orang yang benar ,"['dan', 'dia', 'mengajarkan', 'kepada', 'adam', 'nama', 'nama', 'benda', 'benda', 'seluruhnya', 'kemudian', 'mengemukakannya', 'kepada', 'para', 'malaikat', 'lalu', 'berfirman', 'sebutkanlah', 'kepada', 'ku', 'nama', 'benda', 'benda', 'itu', 'jika', 'kamu', 'mamang', 'benar', 'orang', 'orang', 'yang', 'benar']"
2,32,"Mereka menjawab: ""Maha Suci Engkau, tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami; sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana"".",184,mereka menjawab maha suci engkau tidak ada yang kami ketahui selain dari apa yang telah engkau ajarkan kepada kami sesungguhnya engkaulah yang maha mengetahui lagi maha bijaksana ,"['mereka', 'menjawab', 'maha', 'suci', 'engkau', 'tidak', 'ada', 'yang', 'kami', 'ketahui', 'selain', 'dari', 'apa', 'yang', 'telah', 'engkau', 'ajarkan', 'kepada', 'kami', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'mengetahui', 'lagi', 'maha', 'bijaksana']"
2,33,"Allah berfirman: ""Hai Adam, beritahukanlah kepada mereka nama-nama benda ini"". Maka setelah diberitahukannya kepada mereka nama-nama benda itu, Allah berfirman: ""Bukankah sudah Ku-katakan kepadamu, bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?""",325,allah berfirman hai adam beritahukanlah kepada mereka nama nama benda ini maka setelah diberitahukannya kepada mereka nama nama benda itu allah berfirman bukankah sudah ku katakan kepadamu bahwa sesungguhnya aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan ,"['allah', 'berfirman', 'hai', 'adam', 'beritahukanlah', 'kepada', 'mereka', 'nama', 'nama', 'benda', 'ini', 'maka', 'setelah', 'diberitahukannya', 'kepada', 'mereka', 'nama', 'nama', 'benda', 'itu', 'allah', 'berfirman', 'bukankah', 'sudah', 'ku', 'katakan', 'kepadamu', 'bahwa', 'sesungguhnya', 'aku', 'mengetahui', 'rahasia', 'langit', 'dan', 'bumi', 'dan', 'mengetahui', 'apa', 'yang', 'kamu', 'lahirkan', 'dan', 'apa', 'yang', 'kamu', 'sembunyikan']"
2,34,"Dan (ingatlah) ketika Kami berfirman kepada para malaikat: ""Sujudlah kamu kepada Adam,"" maka sujudlah mereka kecuali Iblis; ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.",201,dan ingatlah ketika kami berfirman kepada para malaikat sujudlah kamu kepada adam maka sujudlah mereka kecuali iblis ia enggan dan takabur dan adalah ia termasuk golongan orang orang yang kafir ,"['dan', 'ingatlah', 'ketika', 'kami', 'berfirman', 'kepada', 'para', 'malaikat', 'sujudlah', 'kamu', 'kepada', 'adam', 'maka', 'sujudlah', 'mereka', 'kecuali', 'iblis', 'ia', 'enggan', 'dan', 'takabur', 'dan', 'adalah', 'ia', 'termasuk', 'golongan', 'orang', 'orang', 'yang', 'kafir']"
2,35,"Dan Kami berfirman: ""Hai Adam, diamilah oleh kamu dan isterimu surga ini, dan makanlah makanan-makanannya yang banyak lagi baik dimana saja yang kamu sukai, dan janganlah kamu dekati pohon ini, yang menyebabkan kamu termasuk orang-orang yang zalim.",248,dan kami berfirman hai adam diamilah oleh kamu dan isterimu surga ini dan makanlah makanan makanannya yang banyak lagi baik dimana saja yang kamu sukai dan janganlah kamu dekati pohon ini yang menyebabkan kamu termasuk orang orang yang zalim ,"['dan', 'kami', 'berfirman', 'hai', 'adam', 'diamilah', 'oleh', 'kamu', 'dan', 'isterimu', 'surga', 'ini', 'dan', 'makanlah', 'makanan', 'makanannya', 'yang', 'banyak', 'lagi', 'baik', 'dimana', 'saja', 'yang', 'kamu', 'sukai', 'dan', 'janganlah', 'kamu', 'dekati', 'pohon', 'ini', 'yang', 'menyebabkan', 'kamu', 'termasuk', 'orang', 'orang', 'yang', 'zalim']"
